STATSB,OPHOLD,TID,INDHOLD
Cambodia,"Study etc., interns",2025M06,2
Sri Lanka,"Study etc., education",2025M06,1
Sri Lanka,"Study etc., interns",2025M06,3
Sri Lanka,"Study etc., other reasons",2025M06,86
India,"Study etc., education",2025M06,78
India,"Study etc., interns",2025M06,11
India,"Study etc., other reasons",2025M06,20
Indonesia,"Study etc., education",2025M06,8
Indonesia,"Study etc., other reasons",2025M06,1
Iraq,"Study etc., interns",2025M06,1
Iraq,"Study etc., other reasons",2025M06,1
Iran,"Study etc., education",2025M06,11
Iran,"Study etc., interns",2025M06,3
Iran,"Study etc., other reasons",2025M06,96
Israel,"Study etc., education",2025M06,1
Japan,"Study etc., education",2025M06,88
Japan,"Study etc., au pair",2025M06,2
Japan,"Study etc., other reasons",2025M06,14
China,"Study etc., education",2025M06,118
China,"Study etc., interns",2025M06,4
China,"Study etc., other reasons",2025M06,5
Lebanon,"Study etc., education",2025M06,1
Malaysia,"Study etc., education",2025M06,2
Malaysia,"Study etc., other reasons",2025M06,2
Nepal,"Study etc., education",2025M06,93
Nepal,"Study etc., au pair",2025M06,1
Nepal,"Study etc., interns",2025M06,3
Nepal,"Study etc., other reasons",2025M06,158
Vietnam,"Study etc., education",2025M06,10
Vietnam,"Study etc., interns",2025M06,74
Vietnam,"Study etc., other reasons",2025M06,1
Pakistan,"Study etc., education",2025M06,9
Pakistan,"Study etc., other reasons",2025M06,126
Philippines,"Study etc., education",2025M06,4
Philippines,"Study etc., au pair",2025M06,32
Philippines,"Study etc., interns",2025M06,13
Philippines,"Study etc., other reasons",2025M06,1
Singapore,"Study etc., education",2025M06,26
South Korea,"Study etc., education",2025M06,9
South Korea,"Study etc., interns",2025M06,7
South Korea,"Study etc., other reasons",2025M06,11
Thailand,"Study etc., education",2025M06,6
Thailand,"Study etc., au pair",2025M06,3
Thailand,"Study etc., interns",2025M06,4
Thailand,"Study etc., other reasons",2025M06,4
Australia,"Study etc., education",2025M06,79
Australia,"Study etc., other reasons",2025M06,20
New Zealand,"Study etc., education",2025M06,10
New Zealand,"Study etc., other reasons",2025M06,1
Russia,"Study etc., education",2025M06,4
Ukraine,"Study etc., education",2025M06,5
Ukraine,"Study etc., other reasons",2025M06,3
Armenia,"Study etc., education",2025M06,1
Uzbekistan,"Study etc., interns",2025M06,19
Kazakhstan,"Study etc., education",2025M06,2
Kyrgyzstan,"Study etc., interns",2025M06,3
Georgia,"Study etc., interns",2025M06,1
Republic of North Macedonia,"Study etc., interns",2025M06,1
Serbia,"Study etc., education",2025M06,3
Serbia,"Study etc., other reasons",2025M06,1
United Kingdom,"Study etc., education",2025M12,19
United Kingdom,"Study etc., interns",2025M12,2
Turkey,"Study etc., education",2025M12,15
Turkey,"Study etc., interns",2025M12,2
Turkey,"Study etc., other reasons",2025M12,1
Germany,"Study etc., other reasons",2025M12,2
Algeria,"Study etc., education",2025M12,2
Ghana,"Study etc., education",2025M12,3
Ghana,"Study etc., interns",2025M12,2
Kenya,"Study etc., education",2025M12,2
Kenya,"Study etc., au pair",2025M12,2
Kenya,"Study etc., interns",2025M12,9
Madagascar,"Study etc., au pair",2025M12,1
Morocco,"Study etc., education",2025M12,2
Morocco,"Study etc., other reasons",2025M12,1
Nigeria,"Study etc., education",2025M12,1
Nigeria,"Study etc., other reasons",2025M12,3
South Africa,"Study etc., au pair",2025M12,1
South Africa,"Study etc., interns",2025M12,2
Tanzania,"Study etc., interns",2025M12,15
Tunisia,"Study etc., interns",2025M12,1
Uganda,"Study etc., education",2025M12,1
Uganda,"Study etc., au pair",2025M12,1
Uganda,"Study etc., interns",2025M12,20
Egypt,"Study etc., education",2025M12,6
Cameroon,"Study etc., education",2025M12,1
Burkina Faso,"Study etc., education",2025M12,1
Malawi,"Study etc., interns",2025M12,2
Argentina,"Study etc., other reasons",2025M12,1
Brazil,"Study etc., education",2025M12,9
Brazil,"Study etc., interns",2025M12,1
Canada,"Study etc., education",2025M12,32
Canada,"Study etc., interns",2025M12,1
Canada,"Study etc., other reasons",2025M12,5
Chile,"Study etc., education",2025M12,4
Colombia,"Study etc., education",2025M12,4
Colombia,"Study etc., au pair",2025M12,1
Colombia,"Study etc., interns",2025M12,1
Ecuador,"Study etc., education",2025M12,1
Mexico,"Study etc., education",2025M12,21
Mexico,"Study etc., au pair",2025M12,1
Mexico,"Study etc., other reasons",2025M12,2
Nicaragua,"Study etc., education",2025M12,1
Uruguay,"Study etc., education",2025M12,1
USA,"Study etc., education",2025M12,97
USA,"Study etc., au pair",2025M12,2
USA,"Study etc., interns",2025M12,1
USA,"Study etc., other reasons",2025M12,6
Venezuela,"Study etc., education",2025M12,1
Afghanistan,"Study etc., other reasons",2025M12,3
Bangladesh,"Study etc., education",2025M12,3
Bangladesh,"Study etc., interns",2025M12,3
Bangladesh,"Study etc., other reasons",2025M12,13
Myanmar,"Study etc., other reasons",2025M12,1
Sri Lanka,"Study etc., education",2025M12,2
Sri Lanka,"Study etc., interns",2025M12,1
Taiwan,"Study etc., education",2025M12,1
India,"Study etc., education",2025M12,24
India,"Study etc., interns",2025M12,8
India,"Study etc., other reasons",2025M12,4
Indonesia,"Study etc., education",2025M12,5
Indonesia,"Study etc., au pair",2025M12,1
Iran,"Study etc., education",2025M12,11
Iran,"Study etc., other reasons",2025M12,13
Israel,"Study etc., education",2025M12,3
Japan,"Study etc., education",2025M12,27
Japan,"Study etc., other reasons",2025M12,32
China,"Study etc., education",2025M12,68
China,"Study etc., au pair",2025M12,1
China,"Study etc., interns",2025M12,1
China,"Study etc., other reasons",2025M12,3
Malaysia,"Study etc., education",2025M12,1
Malaysia,"Study etc., interns",2025M12,1
Nepal,"Study etc., education",2025M12,3
Nepal,"Study etc., au pair",2025M12,3
Nepal,"Study etc., interns",2025M12,1
Nepal,"Study etc., other reasons",2025M12,6
Vietnam,"Study etc., education",2025M12,3
Vietnam,"Study etc., interns",2025M12,52
Pakistan,"Study etc., education",2025M12,4
Pakistan,"Study etc., interns",2025M12,2
Pakistan,"Study etc., other reasons",2025M12,14
Philippines,"Study etc., education",2025M12,2
Philippines,"Study etc., au pair",2025M12,24
Philippines,"Study etc., interns",2025M12,15
Singapore,"Study etc., education",2025M12,17
South Korea,"Study etc., education",2025M12,2
South Korea,"Study etc., other reasons",2025M12,4
Thailand,"Study etc., education",2025M12,3
Thailand,"Study etc., interns",2025M12,2
Australia,"Study etc., education",2025M12,67
Australia,"Study etc., other reasons",2025M12,21
New Zealand,"Study etc., education",2025M12,9
New Zealand,"Study etc., interns",2025M12,1
New Zealand,"Study etc., other reasons",2025M12,2
Russia,"Study etc., education",2025M12,4
Ukraine,"Study etc., education",2025M12,10
Belarus,"Study etc., education",2025M12,1
Azerbaijan,"Study etc., education",2025M12,1
Moldova,"Study etc., education",2025M12,1
Uzbekistan,"Study etc., education",2025M12,1
Uzbekistan,"Study etc., interns",2025M12,4
Kyrgyzstan,"Study etc., interns",2025M12,1
Georgia,"Study etc., education",2025M12,11
Serbia,"Study etc., education",2025M12,1
Italy,"Study etc., education",2025M05,1
Poland,"Study etc., other reasons",2025M05,1
Portugal,"Study etc., education",2025M05,1
United Kingdom,"Study etc., education",2025M05,7
United Kingdom,"Study etc., interns",2025M05,1
Turkey,"Study etc., education",2025M05,13
Turkey,"Study etc., interns",2025M05,2
Turkey,"Study etc., other reasons",2025M05,6
Ghana,"Study etc., education",2025M05,3
Ghana,"Study etc., interns",2025M05,7
Kenya,"Study etc., education",2025M05,3
Kenya,"Study etc., interns",2025M05,15
Morocco,"Study etc., other reasons",2025M05,1
Nigeria,"Study etc., education",2025M05,5
Nigeria,"Study etc., other reasons",2025M05,6
Sierra Leone,"Study etc., education",2025M05,1
South Africa,"Study etc., education",2025M05,1
South Africa,"Study etc., interns",2025M05,5
Tanzania,"Study etc., interns",2025M05,19
Uganda,"Study etc., education",2025M05,2
Uganda,"Study etc., interns",2025M05,77
Egypt,"Study etc., education",2025M05,1
Egypt,"Study etc., other reasons",2025M05,1
Cameroon,"Study etc., education",2025M05,1
"Congo, Democratic Republic","Study etc., other reasons",2025M05,5
Rwanda,"Study etc., education",2025M05,1
Rwanda,"Study etc., interns",2025M05,1
Malawi,"Study etc., education",2025M05,1
Argentina,"Study etc., education",2025M05,2
Argentina,"Study etc., other reasons",2025M05,10
Brazil,"Study etc., education",2025M05,2
Brazil,"Study etc., interns",2025M05,6
Saint Vincent and the Grenadines,"Study etc., interns",2025M05,1
Canada,"Study etc., education",2025M05,10
Canada,"Study etc., interns",2025M05,2
Canada,"Study etc., other reasons",2025M05,8
Chile,"Study etc., education",2025M05,4
Chile,"Study etc., other reasons",2025M05,12
Colombia,"Study etc., education",2025M05,3
Dominican Republic,"Study etc., education",2025M05,1
Mexico,"Study etc., education",2025M05,13
Mexico,"Study etc., interns",2025M05,2
Peru,"Study etc., education",2025M05,2
Peru,"Study etc., interns",2025M05,1
Trinidad and Tobago,"Study etc., interns",2025M05,1
USA,"Study etc., education",2025M05,36
USA,"Study etc., interns",2025M05,30
USA,"Study etc., other reasons",2025M05,12
Afghanistan,"Study etc., education",2025M05,1
Afghanistan,"Study etc., other reasons",2025M05,15
Bangladesh,"Study etc., education",2025M05,121
Bangladesh,"Study etc., interns",2025M05,5
Bangladesh,"Study etc., other reasons",2025M05,82
Cambodia,"Study etc., interns",2025M05,6
Sri Lanka,"Study etc., interns",2025M05,2
Sri Lanka,"Study etc., other reasons",2025M05,70
Taiwan,"Study etc., education",2025M05,1
India,"Study etc., education",2025M05,39
India,"Study etc., interns",2025M05,21
India,"Study etc., other reasons",2025M05,17
Indonesia,"Study etc., education",2025M05,14
Indonesia,"Study etc., au pair",2025M05,1
Indonesia,"Study etc., other reasons",2025M05,3
Iraq,"Study etc., other reasons",2025M05,5
Iran,"Study etc., education",2025M05,6
Iran,"Study etc., other reasons",2025M05,95
Israel,"Study etc., education",2025M05,2
Japan,"Study etc., education",2025M05,43
Japan,"Study etc., other reasons",2025M05,18
China,"Study etc., education",2025M05,88
China,"Study etc., interns",2025M05,3
China,"Study etc., other reasons",2025M05,5
Lebanon,"Study etc., education",2025M05,2
Nepal,"Study etc., education",2025M05,191
Nepal,"Study etc., interns",2025M05,4
Nepal,"Study etc., other reasons",2025M05,235
Vietnam,"Study etc., education",2025M05,9
Vietnam,"Study etc., interns",2025M05,43
Vietnam,"Study etc., other reasons",2025M05,1
Pakistan,"Study etc., education",2025M05,20
Pakistan,"Study etc., other reasons",2025M05,114
Philippines,"Study etc., education",2025M05,2
Philippines,"Study etc., au pair",2025M05,37
Philippines,"Study etc., interns",2025M05,15
Philippines,"Study etc., other reasons",2025M05,2
Singapore,"Study etc., education",2025M05,20
South Korea,"Study etc., education",2025M05,4
South Korea,"Study etc., interns",2025M05,1
South Korea,"Study etc., other reasons",2025M05,3
Thailand,"Study etc., education",2025M05,8
Thailand,"Study etc., au pair",2025M05,1
Thailand,"Study etc., interns",2025M05,2
Thailand,"Study etc., other reasons",2025M05,1
Australia,"Study etc., education",2025M05,15
Australia,"Study etc., other reasons",2025M05,24
New Zealand,"Study etc., education",2025M05,4
New Zealand,"Study etc., other reasons",2025M05,1
